"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00177","RGI2000-v7.0-G-01-00168",0,1,-1,1,669
"RGI2000-v7.0-L-01-00178","RGI2000-v7.0-G-01-00169",0,1,-1,1,866
"RGI2000-v7.0-L-01-00179","RGI2000-v7.0-G-01-00170",0,1,-1,1,2199
"RGI2000-v7.0-L-01-00180","RGI2000-v7.0-G-01-00171",0,1,-1,1,718
"RGI2000-v7.0-L-01-00181","RGI2000-v7.0-G-01-00172",0,1,-1,1,971
"RGI2000-v7.0-L-01-00182","RGI2000-v7.0-G-01-00173",0,1,-1,1,919
"RGI2000-v7.0-L-01-00183","RGI2000-v7.0-G-01-00174",0,1,-1,1,968
"RGI2000-v7.0-L-01-00184","RGI2000-v7.0-G-01-00175",0,1,-1,1,585
"RGI2000-v7.0-L-01-00185","RGI2000-v7.0-G-01-00176",0,1,-1,1,651
"RGI2000-v7.0-L-01-00186","RGI2000-v7.0-G-01-00177",0,1,-1,1,552
"RGI2000-v7.0-L-01-00187","RGI2000-v7.0-G-01-00178",0,1,-1,1,978
"RGI2000-v7.0-L-01-00188","RGI2000-v7.0-G-01-00179",0,1,-1,1,761
"RGI2000-v7.0-L-01-00189","RGI2000-v7.0-G-01-00180",0,1,-1,1,491
"RGI2000-v7.0-L-01-00190","RGI2000-v7.0-G-01-00181",0,1,-1,1,560
"RGI2000-v7.0-L-01-00191","RGI2000-v7.0-G-01-00182",0,1,-1,1,1489
"RGI2000-v7.0-L-01-00192","RGI2000-v7.0-G-01-00183",0,1,-1,1,427
"RGI2000-v7.0-L-01-00193","RGI2000-v7.0-G-01-00184",0,1,-1,1,300
"RGI2000-v7.0-L-01-00194","RGI2000-v7.0-G-01-00185",0,1,-1,1,470
"RGI2000-v7.0-L-01-00195","RGI2000-v7.0-G-01-00186",0,1,-1,1,541
"RGI2000-v7.0-L-01-00196","RGI2000-v7.0-G-01-00187",0,1,-1,1,988
"RGI2000-v7.0-L-01-00197","RGI2000-v7.0-G-01-00188",0,1,-1,1,1281
"RGI2000-v7.0-L-01-00198","RGI2000-v7.0-G-01-00189",0,1,-1,1,541
